address,before_optimized_token,optimized_80p_token,optimized_50_token,optimize_20p_token
0x04bf44a0159f900328173edc39eb472ec1c2faa9,1104,865,530,206
0x04c39e68215a42d697d72ffcd8345a0155003b25,1069,847,520,202
0x04cd5f369825c0b2ae1e7a6e8559734f6080fbb5,1525,1208,741,301
0x04d01b6145bc9db925ec1e80bc85f936a961210e,1522,1227,759,303
0x04daec4e1fc6a4b4555b509b7c5c673ebad29f1f,1511,1192,740,266
0x04e7eefd4f5831409cd7fdd0821bde32d9c800c5,1482,1136,720,286
0x04eadaa51c080391bf0c415420e2324b9a006848,1472,1186,730,281
0x04eb6febda6646032c6de98554e607f430c39797,1486,1229,776,312
0x04ed15fa8c47778589c1bf3451e0de25c1eed3ae,1505,1184,719,286
0x050663fa3f625e9accf534fb188bcb1dca0579b5,1506,1205,740,282
0x0507567f1ce102b70b27da7d74d52daa2d9b3011,1501,1177,709,281
0x0509a863569f2e9253a1fc8d4bc90a7a0cf9d2e4,1547,1227,757,301
0x050a0bb563e7cf21eb29df0bb39e9f092fa2cd3f,1563,1240,780,311
0x051fda7486480dd5abcf5dd742ef002a2ebb9ea0,1488,1186,740,310
0x0520959c7b38a2db9f9ed0f7b0fc621cf22c07a0,1536,1227,767,294
0x0525b2bF24ec0Bc5D8514747F250010E240207EA,1061,833,517,193
0x052b7112f050a3fb79ee2afdc1c9e821a2b1f0c2,1069,847,520,202
0x052d01d58729839b0fb9e321c63caf4f7a3de7fe,1517,1209,735,285
0x0532dd9ecb00c424c72335df4f60c11c03229ec0,1499,1172,723,246
0x0533FA1D4b6CB6FB0be65edFeAA03b11Dcd172C4,1471,1198,761,304
0x0535e6410a82B7a4185AB864e4edc83c1bDaF2c5,1061,833,517,193
0x053c45e82c3b78aaf3303c1385dced942b2ea719,1544,1199,761,297
0x053e43d155519efc4616bdc2a8fef5a4eb4cec4e,1483,1177,732,295
0x05435983b4736d18d3c56e860d607f2825dc5d64,1495,1196,754,301
0x054ad3cd4a66f14bf5c0de2548a53be66995a4f6,1493,1186,717,287
0x054bbeffef8b77640fb1b3955c4f12f19cd0a8cc,933,741,437,176
0x054e9fc67e4bfeee098576f6d46dbbcc232745a2,295,226,136,61
0x0550CA1315DD195Cf5AA1c675A4611ac5ac8988A,1061,833,517,193
0x0565043602218b8bcc3b1470a33de427561d9f79,1551,1213,754,301
0x0566c17dc2a9efcaa2f63e04cf06a69e8fc77f60,1509,1186,722,287
0x056c571b521a2e1545f99d8340990403b6c7abe9,1525,1208,741,301
0x0570318951cfb0e0c4c2af3070c1c040e0e8790b,1547,1233,771,309
0x05711090b4d375431e841ea79e52666f623d3353,1542,1238,777,320
0x0573e5acb7d65848564cd81b69d1046bdf870244,1501,1177,709,281
0x057bfea37ba2637dc00abd2ef0eab5abfbf31076,1107,868,532,207
0x058306004a2acfcaf5160142adcb71e9bb6d38e9,1174,917,529,238
0x05852E51E7c86333510327C64D8dDDC9D2264D24,1356,1058,643,270
0x058f4de2ce00b8d68905ca9eae550b326bd9d691,1501,1187,713,281
0x059468db0af9a1c0079ee0fc1d5773aec585cc72,1547,1204,723,294
0x05a0b0eadd54d13ef3fe015f2ede197a822bc8fc,1516,1189,752,313
0x05a0ea0e87d273e6a1fe04ca8b5a795422d7507b,1467,1142,720,289
0x05a271f117c42d77f77b0e4491f603c0370806e9,1163,925,557,222
0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa,293,232,143,53
0x05a632dab15b1f3e012ad1ac6a23c6f0a1edd48b,1501,1177,709,281
0x05a9bd0d2d04ba1b2a4706c5a99397a2c7e8c89e,1069,847,520,202
0x05acecc73ff68c850e0ff5a068262678966d9f4d,1515,1196,741,298
0x05b3abd9031a31a45121bda59c7bb52fc7db2590,977,759,475,182
0x05b9f9f8868631c4afd2b7f14600bfa3a64524be,1069,847,520,202
